2017-02-15,WA,road,3-ne,bond,breaking,closes,crash,deadly,district,due,grant,jones,lake,looks,moses,needed,office,passed,q-ne,richland,s,sheriff,tom,county,school
2017-02-15,DE,netde,nb,accident,jams,sb,team,day,i-95,lane,single,@mikesb_ghsports,de-141,dual,february,jammed,milford,minquadale,r,state,title,video,@milfordbeaconde,@whyy,@whyyradiotimes,approaching
2017-02-15,WV,wvu,basketball,state,@lchspride,city,keep,new,wvprepbb,@toddthemurr,big,boys,center,coach,come,days,game,kern,lady,local,mov,ovac,panthers,roane,time,tomorrow
2017-02-15,HI,|,sub.req,bigisland,board,content,free,hawaii,s,waimea,$40,68-55,advance,advertising,advisory,airport,aloha,amen,aquifer,art,arts,assault,basketball,bill,boys,budget
2017-02-15,NH,finds,@elodie_reed,agritourism,always,animals,bacteria,chiffon,coffee,contaminating,control,decadent,decked,dessert,disability,dogs,embattled,farmers,harmed,n.h,opinion,owners,oysters,pet,problem,proposes
2017-02-15,NJ,borough,food,rsvp,11am-5pm,15th,6-12,@aquarianweekly,@fillmorephilly,@wethekings,april,article,awesome,bars,bowl,bristol,caring,carlock,clinical,comeback,company,cook,date,doylestown,duo!\xe2\x80\xa6,falls
2017-02-15,NM,lobos,state,@unmhoops,new,boise,golobos,\xc2\xa0,day,left,media,roswell,bus,city,facebook,lead,mexico,news,@cathy_daily,@unm,abq,archbishop,first,francis,free,half
2017-02-15,NC,carolina,north,trump,wins,@desiringgod,@pbethancourt,@samueld_james,actions,administration,alaska,arrested,barring,best,blocks,brother,chandler,changes,congress,considered,dating,debate,falling,families,forward,german
2017-02-15,ND,ndpreps,kfgo,minot,bill,daily,dakota,fargo,feb,kidder,und,border,day,go,new,news,oil,south,spring,state,strasburg-zeeland,students,team,watch,3rd
2017-02-15,NE,nebpreps,@antlerbball,@scottaveryzzq,antlernation,playmemoriesmobile,sonyalpha,storm,elkhorn,end,left,antlers,dc,elk,girls,south,thompson,west,concordia,half,two,@mpattersonowh,leads,ot,win,final
2017-02-15,TN,police,says,connection,feb,theft,bills,bus,couple,dalton,elementary,filed,identify,jury,lawsuits,seek,suspect,thursday,tragic,truck,woodmore,wreck,$750,2/15/17,3-9,\xe2\x80\x93
2017-02-15,NY,@audioboom,via,lake,@bernieandsid,hampton,placid,watch,full,bays,mikefrancesa,.@sidrosenberg,2/15/17,@antonioolivero,@curtisandkuby,@driveatfive,@wfan660,hd,lakeplacid,saranac,snow,splendor,studio,vs,world,yet
2017-02-15,PA,beaver,county,falls,high,underway,school,weekend,$1.5,@genevacollege,@pennstatebeaver,@rmu,academy,ally,already,award-nominated,ban,behind-the-scenes,betting,bob,box,buyout,casinos
2017-02-15,RI,uhip,@anitabaffoni,system,deloitte,wpro,says,.@ginaraimondo,raimondo,report,pcbb,take,\xe2\x80\xa6,de,el,governor,live,que,resignation,coming,la
2017-02-15,VA,help,va,basketball,bill,coastal,find,good,nashville,opinion,show,story,take,tickets,today,tomorrow,us,virginia,weekend,10am,17th,4-pack
2017-02-15,CO,aspen,denver,@newscpr,colorado,farm,new,way,adams,conference,find,found,full,get,gjco,issues,local,man,marijuana,name,need,one,pot,retail,say
2017-02-15,AL,@audioboom,new,via,alabama,city,day,02/14,boys,hour,investigation,show,talk995,bentley,attorney,general,live,regional,class,council,leland,lelandlive,marshall,robbery,students,talladega
2017-02-15,AR,magazine,2a4westdistrict,arpreps,lavaca,sg,harrison,arkansas,bill,alma,girls,reports,trump,@cbsnews,\xf0\x9f\x93\xb8,boys,danville,house,new,one,rogers,tuesday,5,details,half,phillips
2017-02-15,IL,andrew,arrested,labor,man,puzder,secretary,@ap_politics,breaking,ceo,fast,food,nomination,rockford,$225,animal,charged,cruelty,driver,drug,expected,found,going,gop,nominee,offenses
2017-02-15,IN,new,day,iu,state,feb,indiana,local,community,february,fine,love,p.m,@indymonthly,black,board,center,coach,news,print,public,set,southwood,students,tonight
2017-02-15,IA,february,issue,see,city,college,orange,basketball,girls,northwestern,red,community,january,local,meeting,district,dutch,iowa,raider,students,council,dordt,games,honor,issues,knight
2017-02-15,OK,aurora,city,ward,two,|,board,details,fire,get,norman,oklahoma,texas,tonight,writes,see,@maceybateman,@ou_mbball,aline-cleo,anr,arrested,away,bierman,boys,breakfast,career
2017-02-15,AZ,ahwatukee,chamber,community,plan,5pm,7pm,@arizonapbs,@cronkitenews,@hannahdickens22,\xe2\x80\x9cthe,abm,accomplish,anytime,back,business,checkpleaseaz,children,dispensary,don\xe2\x80\x99t,else,enjoy,farms,fight,find,first
2017-02-15,ID,idaho,trump,ibrnews,day,free,house,named,new,nyssa,.@stateandlemp,2cscoop,@bsusuccess,@mrgrantolsen,affirms,always,anyone,appeals,beard,bill,boise,boisestate,campus,case,ceo,court
2017-02-15,MA,study,work,hopes,students,ways,able,academic,alex,allocate,arquillo,art,bank,bc,better,breaks,brunstad,business,capecod,chapter,cod,columnist,diet,find,help,immigration
2017-02-15,OH,new,city,news,story,tonight,barberton,cincinnati,jackson,norton,people,wooster,80-52,@917wvxu,council,great,make,one,plain,s,smithville,turns,two,29th,@buildingcincy
2017-02-15,UT,utah,city,public,day,man,new,night,state,big,game,health,photo,power,show,soutah,stgeorge,trump,@apcentralregion,bar,care,chaffetz,colorado,creative,dining,discontent
2017-02-15,MN,dl,local,new,basketball,girls,boys,list,man,park,s,selected,sentenced,st,students,win,carver,chair,chanhassen,cities,earn,feb,hockey,honors,keep,lake
2017-02-15,MT,mtscores,mtleg,montana,mtpol,week,9c,bill,carry,chinook,mtnews,turner,considers,elder,fire,hotel,panel,last,school,allow,baby,beeters,big,blaze,box,day
2017-02-15,SC,10a,17n,526e,8:40,@brihicks_pandc,@charlieonair,@crbj,@lizsegrist,\xe2\x80\x9ctears,action,alley,argue,art
2017-02-15,OR,trump,report,via,@bipartisan,new,nyssa,\xe2\x80\x93,ahead,come,day,feb,get,hard,help,immigrant,including,local,need,opreps,oregon,portland,russia,seen,state,sweet
2017-02-15,SD,today,listen,dakota,begins,committee,live,sdleg,ct,south,house,city,plan,senate,state,park,bill,canyon,fire,man,radio,spearfish,day,icymi,low,pierre
