2017-02-24,WV,face,.@wvubaseball,2-2,5-3,@cjacksonwvu,@dailyathenaeum,@thebobthe,@wvuhoops,\xe2\x80\x9cmodel,ahmad\xe2\x80\x99s,apply,beats,coastal,contestants,cover,dancing,gears,george,goddamn,huggins,hurts,improve,mason,mountaineer
2017-02-24,NH,nhpolitics,@senatorshaheen,hall,town,via\xe2\x80\xa6,@senatorhassan,said,nh,bill,new,@elodie_reed,education,nhwx,tonight,via,17,@_adandrea,@govchrissununu,@nickstoico,@steinhausernh1,@thenhsenate,@uofnh,ainge,auditorium,back
2017-02-24,NJ,jersey,newtown,race,township,housing,new,12-4,16th,@aquarianweekly,@cooldadmusic,@crnathletics,@crnorthfootball,@hiddencabins,@mattpinfield,@reporterbmakin,@zigmanbird,affordable,america,ample,boost,breaks,breathe,buckscounty,caruso,challenges
2017-02-24,NM,belen,new,d5_5a,hoops,mm,albuquerque,los,lunas,tourney,budget,\xc2\xa0,mexico,nm,nmaa,nmleg,santafe,tonight,house,tax,08:35am,@northernnmroads,abq,driving,eagles,end
2017-02-24,TX,biglaw,income,revenue,txlegal,gains,posts,.@thompsonknight,2017\xe2\x80\xa6,5thcircuit,@mcguirewoodsllp,@texaslawyer,@thompsonknight,accepting,action,andrew,apr,ba\xe2\x80\xa6,classaction,coverage,dallas-based,defense,drops,ever,expect,firms
2017-02-24,NC,@jocoreport,peterson,kathleen,michael,projects,@hpemichael,@hpestephanie,city,danville,fishing,independence,house,exclusive,guilford,highpoint,hpe,michaelpeterson,region,river,say,via,case,help,man,police
2017-02-24,ND,dakota,nd,rural,@tallweatherguy,fargo,gf,river,ag,climbs,flooding,index,level,mainstreet,minnesota,september,bill,girls,talk,winter,north,state,@dakotastudent,@jimkfgo,access,bat
2017-02-24,NE,talks,school,$20,4th,89th,@cpscardinals,@craignobiling,@jerry_mack,amend,appetizer,ban,bauer,closes,continue,decision,discretion,discussed,discussing,drink,engineering,experiments,felons,grant,hickstein,imahara
2017-02-24,NY,@audioboom,via,lake,saranac,@ritacosby,hampton,.@govmalloyoffice,2/24/17,24th,@77wabcradio,@joanhamburgshow,broadway,east,eye,february,immigration,luncheon,mirror,missed,nation,north,page,part,radio,says
2017-02-24,PA,evolmfg,pa,butlerdrugcrisis,icymi,philadelphia,hill,@repjimrenacci,hearing,things,tonight,local,available,black,district,newsor,thanks,years,history,management,manufacturing,month,pabudget,pm,get
2017-02-24,RI,$2,blockisland,famed,jim,passes,stevenson,age
2017-02-24,NV,vegas,de,details,las,el,traffic,|,tiempo,photo,lake,lanes,mead,pic,rtc/fast,tahoe,crash,carson,eb,nevada,wreck,center,county,en,images,open
2017-02-24,CO,&gt;&gt,colorado,aspen,@koaa,copreps,greeley,district,death,shooting,high,snow,@newscpr,report,skier,tops,city,may,traffic,@coloradopreps,basketball,class,cowboys,due,help
2017-02-24,CA,beverly,hills,ucla,\xe2\x80\x93,student,15th,armenian,colloquium,graduate,basketball,news,chico,annual,city,conference,girls,students,team,|,body,came,movies,oroville,read,new
2017-02-24,AL,talladega,final,clinch,guntersville,mvp,quarter,four,alabama,arab,black,boys,fourth,lady,senate,spot,updated,win,big,city,council,county,game,high,hosts,knights
2017-02-24,IL,|,dependonus,rockford,county,man,gazette-democrat,chicago,harvest,redbird,week,@,annawan,champaign,house,illinois,last,park,police,side,arena,close,hall,new,show,sports
2017-02-24,IN,county,jay,fish,high,st,fort,fry,recovery,march,adults,changes,church,column,free,gift,joy,msgr,newspaper,school,severe,united,always,classes,including,new
2017-02-24,IA,blair,due,schools,@elisa_raffa,blizzard,lee,visibility,county,@briabellkcau,@trooperkurtz,activities,chargers,hrs,jerry,kcau9wx,safe,sioux,snow,tomorrow,weather,back,campus,city,classes,closed
2017-02-24,OK,okpreps,marlow,girls,hugo,1st,regional,3a,sand,springs,round,@sanditebball,oklahoma,ou,2nd,bartlesville,end,stillwater,area,iv,@okhsscores,@ssleader,class,consolation,half,local
2017-02-24,ID,.@treefortfest
2017-02-24,ME,152nd,@asapferg,@bowdoineboard,@djvanic,@smallpools,act,also,art,changed,concert,got,headline,indie,ivies,life,perform,pop,skin,announced,today
2017-02-24,MD,maryland,@potus,cpac2017,county,frederick,umd,\xe2\x80\x93,student,@cpac,baltimore,democracy,going,harford,howard,lacrosse,oscars,wordpress,get,people,930wfmd,@cnn,@realdonaldtrump,accident,best,composer
2017-02-24,MA,new,irish,fashion,influencers,nantucket,peabody,@ap,boys,capecod,double,maynard,next,state,top,list,murder,@fly_norwegian,@maccerullo,@wcvb,andover,art,carver,criminal,doughty,monday
2017-02-24,OH,burger,county,contender,feast,barberton,cincinnati,awards,@917wvxu,@billgrinehart,@cincinnatizoo,@micmonksmedia,@storycorps,another,athens,catch,columnist,fiona,house,jackson,meant,proposal,really,summit,swimming,teamfiona
2017-02-24,MO,2/23/17,@1240klik,@1400kfru,@audioboom,@dave_matter,@gycomo,@joevozelli,@mizzouwrestling,@mutigerstyle,@raggs_no_riches,a\xc3\xb1os,celebrar\xc3\xa1,cines,del,fernando,fishing,fun,hole,llega,los,man\xc3\xa1,mma,plus
2017-02-24,KS,@derby_sports,@dhs_panthers,kansas,city,park,@derbywrestlin,andover,anxiety,commission,olathe,shooting,stevens,county,season,&lt;&lt,\xf0\x9f\x8f\x86,bannon,brownback,central,chief,crackdown,disorder,ehs,fatal
2017-02-24,OR,@bipartisan,oregon,report,almost,citizens,questions,tillamook,via,addicting,ag,answer,ashland,could,court,cpac,crave,davis,else,enter,fbi,highway,idaho,knowledge,march,mean
2017-02-24,SD,pounds,class,defeats,decision,via,pinfall,pts,quarterfinals,stanley,round,b,dakota,ober,jacks,lead,pierre,period,thompson,brookings,denver,left,@gojackswbb,camp,first,permit
