2017-03-17,WV,wvu,\xe2\x80\xa2,@toddthemurr,budget,morgantown,via,county,ncaa,.@martintynice,3/16/2017,@elonwbasketball,@wvuhoops,@wvuwbb,@youtube,commission,elon,leads,lincoln,tomorrow,win,wv,75-62,@andrewspellman_,@cjacksonwvu
2017-03-17,WY,gowyo,cowgirls,wnit,1st,cowboy,since,wyoming,@bmeredith001,@wyowrestle,bryce,casper,game,tonight,years,2nd,6-5,all-american,catch,cheyenne,done,earn,first,former,honors,lost
2017-03-17,NH,day,farmington,town,manchester,st,@fostersdailydem,charges,dcyf,hampshire,man,@seacoastonline,@thenhsenate,adult,approved,beef,budget,cabbage,community,corned,early,elementary,famous,fill,green,guilty
2017-03-17,NJ,regional,new,police,@zeke_o,madison,fire,open,spring,april,board,business,school,annual,budget,center,chamber,community,drive,medical,newton,online,store,town,township,view
2017-03-17,TX,.@314action,@ceidotorg,\xe2\x80\xa6,ag?\xe2\x80\xa6,anti-science,awards\xe2\x80\xa6,battle,campaign,charges,chief,civil,classaction,client,confirmation,congress,corp,couple,cuts,cyberbullying,deadline,departments,drawing
2017-03-17,LA,louisiana,@timonbc6,march,orleans,video,wnit,man,early,get,lady,people,us,police,everyday,love,marshall,miss,moms,one,patty,seat,state,trump,weekend,time
2017-03-17,NC,andrews,hayesville,hhsvsahssb,jackets,lady,top,8-0,block,double,error,final,one-out,runs,score,wildcats,11-0,2-0,4:30,6-0,@_tiffholloway,@cniozzy,ball,baseball,baseball/softball,congrats
2017-03-17,ND,bill,stateb,senate,bishop,final,meet,committee,oak,stanley,state,@maxgrossfeld,dakota,fargo,boys,call,farmers,fourwinds/,high,house,industry,late,live,minnewaukan,opposes,trump
2017-03-17,NE,|,nebpreps,elkh,wahoo,recap,psx,@antlers_basebll,0e,first,single,nbrs,mount,michael,mid,one,0r,@eshsbaseball15,end,runners,bases,game,gets,runner,1h,groff
2017-03-17,PA,raybucknell,@bucknell_wbb,bucknell,butler,beaver,it\xe2\x80\x99s,route,school,aid,aliquippa,animal,avenue,board,bucknellian,close,community,firm,man,maryland,penney,percent,plan,raises,s,search
2017-03-17,VA,christ,may,tonight,stpatricksday,make,arts,center,fredericksburg,like,one,photo,view,happy,spring,st,@bishopburbidge,@fairfaxpolice,black,bonnie,check,church,covaideahouse,dj,events,fairs
2017-03-17,CO,s
2017-03-17,CA,@bakersfieldcali,via,ksfomorningshow,\xd4\xb5\xd6\x82,\xd4\xbf\xd5\xa8,alameda,deplorablenation,...rocks,@kidrock,aclu,county,first,health,inyourfacechina,kern,napa,navy
2017-03-17,VT,suncmtynews,\xf0\x9f\x8d\x80,st,albans,bfa-st,overtime,getting,32-30,@beniash12,\xf0\x9f\x92\x9a,build,county,day,dressed,enews,finals,girls,green,headed,held,johnsbury,louras,news,patrick,pets
2017-03-17,IL,hyundai,recalls
2017-03-17,GA,atlanta,county,dawson,hall,georgia,gwinnett,lady,first,gac,see,stpatricksday,tigers,via,second,march,one,soccer,home,@redblacksports,top,happy,2-0,@celesteheadlee,clayton
2017-03-17,IN,iubb,iu,crean,tom,county,break,head,nine,seasons,ball,coach,first,get,indiana,iuwbb,jay,next,want,wnit,state,academy,ad,adams,allegedly,best
2017-03-17,IA,march,issue,see,raider,red,game,orange,baseball,district,february,holy,life,northwest,photo,proceedings,publishes,@countyso,adoration,city,council,county,court,hearing,honored
2017-03-17,ID,idaho,tax,via,bill,falls,grocery,senate,@youtube,boise,idleg,flood,ibrnews,nampa,twin,@cdapressnews,@twinfallstn,dog,idpol,march,@idahogovernment,bomb,house,kills,lawmakers,pocatello
2017-03-17,MA,*them,@andovertownsman,@mloughmanwl,arrogant,attitude,blumstein,current,deliberation/,different,fair,forget,learn,lot,mtg,nagogpond,parents,plant,s
2017-03-17,UT,utah,green,npr,industry,@ap_politics,bill,budget,got,hb155,stpaddysday,video,new,.05,almost,cache,company,council,district,food,fun,hospitality,judge,know,level,logan
2017-03-17,MO,missouri,crash,one,jcmo,state,@randyspeer_dsj,get,mizzou,week,board,county,@elizabethkrcg13,back,change,game,grain,morning,says,stpatricksday,students,new,@krcg13,de,tigers,st
2017-03-17,MN,minnesota,annual,march,review,st,free,one,orth,says,tim,tonight,trump,friday,day,basketball,budget,council,dakota,food,letter,minneapolis,section,state,win
2017-03-17,MI,cadillac,snow,03/17/2017,closed,due,lake,michigan,still,traffic,vehicle,watch,students,8th,alert.....nb,also,b,bedford,best,buckley,change,county,crashes,expected,league,look
2017-03-17,MT,montana,mtnews,mtpol,mtleg,bill,billings,would,@bgcaseypage,ax,budget,development,education,one,ponderosa,public,rural,senate,sentenced,tax,trump,elementary,man
2017-03-17,SC,|,weekend,@jlharrison_news,charleston,one,sc,article,buzz,fun,get,i-26,morning,things,usc,fire,came,cedar,chsnews,come,editor,first,gaffney,georgetown,looking
2017-03-17,KY,killed,shocked,$80,@abc36news,@fadia_dame_tele,agency,another,appalachia,attack,bicycle,budget,closing,condition,court,crops,dog,driven,ellis,farmers,former,freeze,g,gregory,holsapple,kentucky
2017-03-17,OR,via,@bipartisan,report,trump,|,ag,video,\xe2\x80\x93,addicting,announcement,children,committee,disturbing,grain,house,idaho,idpreps,info,makes,opreps,owyhee,paul,programs,proposed,r
