2017-04-07,DE,point,coastal,netde,|,rd,jams,i-95,sb,world,accident,day,\xe2\x80\x94,due,health,report,s,w/injuries,@whyy,closed,delaware,irsd,live,today,tree
2017-04-07,DC,de,april,el,new,first,en,center,win,del,photos,brandy,drive-in,la,last,metro,night,re,saturday,see,tonight,trans,una,ward,@gw_students,d.c
2017-04-07,WI,new,tonight,&gt;&gt,april,county,\xe2\x80\x93,fox,isthmus,pick,school,students,@karinswansonwx,aspect,charges,court,dining,encouraging,foster,high,man,pete,play,pm
2017-04-07,WV,wvu,@toddthemurr,@wvubaseball,2-0,kansas,third,second,@patrickkotnik,first,gonzalez,new,two,court,gorsuch,inning,ivan,lead,right,supreme,.@ivangon33,15%,@cjacksonwvu,confirms,flies,leads
2017-04-07,HI,|,sub.req,content,free,bigisland,\xe2\x80\x93,\xe2\x80\x98he,\xe2\x80\x98peter,abuse,arrested,attempted,boy\xe2\x80\x99,budget,god,half-sister,heaven\xe2\x80\x99,kema\xe2\x80\x99s,kohala,life,man,molokai,murder,new,north,parents\xe2\x80\x99
2017-04-07,WY,wyoming,casper,state,american,april,cheyenne,man,county,court,judge,officials,one,sheridan,story,trump,day,five,gas,gorsuch,license,local,new,news,retirement,runoff
2017-04-07,NH,dover,effect,flood,police,credit,man,middlesex,union,@actualcandrews,nh,northeast,via,warning,@nh1news,assault,budget,county,essex,first,home,last,today,woman,.@govchrissununu,@conmonitornews
2017-04-07,NJ,newtown,@targumsports,celebration,director,drug,easter,new,presents,students,targumopinion,week,stop,$10,$17,@northwildwoodpd,@rfootball,@rulaxbrand,@rutgersu,\xe2\x80\x98the,aclu,activism,administrator,agencies,album,alleged
2017-04-07,NM,martinez,new,mexico,city,gov,bills,budget,day,news,tax,bill,call,dept,mass,state,syria,albuquerque,chrism,county,court,high,one,rio,tonight,us
2017-04-07,TX,partner,$3.3b,.@akin_gump,.@strasburger,@vinsonandelkins,acquisition,advise,award,better,cash\xe2\x80\xa6,circuit,disappointing,discusses,edtx,faces,facts,federal,fee,hamilton,i\xe2\x80\xa6,ignored,income,instructions,millions,minutes
2017-04-07,NC,andrews,@kevinhensleycni,ridge,us,blue,day,first,syria,city,lady,runs,top,two,gorsuch,lead,man,missiles,trump,wildcats,april,award,base,bb/sb,bobcats,bottom
2017-04-07,NE,@3newsnowomaha,says,chambers,@mstewartkmtv,omaha,river,@jakewasikowski,goat,hearing,say,water,@lavistapolice,@marynelsonomaha,@nickstarlingtv,ashford,breaking,liquor,missouri,mom,north,reports,sciara,store,underway,us
2017-04-07,TN,corker,gorsuch,perdue,alexander,court,missile,state,strikes,supreme,syria,confirmation,confirms,county,etsu,new,photo,senate,win,@heraldcourier,applaud,big,bill,black,chattanooga,city
2017-04-07,PA,$22,earning,families
2017-04-07,RI,april,pawsox,providence,syria,u.s,@brownuniversity,@golocalprov,coverage,day,live,ri,@npr,airstrikes,boys\xe2\x80\x99,city,going,music,new,pawtucket,police,preview,state,three,women
2017-04-07,NV,el,details,syria,tiempo,|,.@seanhannity,de,attack,latest,photo,us,dead,las,launches,nevada,next,noticias,sean,senate,team,terror,truck,@ingrahamangle,\xe2\x80\x93,air
2017-04-07,VA,s,today,st,us,$2,@bishopburbidge,\xe2\x80\x94,call,face,friday,future,institution,like,looking,lost,may,music,new,parish,pick,request,syria,tickets,u.s,vegan
2017-04-07,AL,\xe2\x80\x93,age,april,guin,james,obituary,terrell,thurs
2017-04-07,AR,syria,us,attack,chemical,today,value,arkansas,going,live,rental,saturday,@,birthday,built,high,launches,missiles,news,party,radio,response,senate,true,trump,u.s
2017-04-07,IL,rockford,able,area,bundt,cakes,enjoy,hyundai,kia,nothing,opens,recall
2017-04-07,AZ,de,via,en,phoenix,el,la,student,april,con,new,students,fling,spring,@sportswriter52,arizona,esperanza,season,state,two,weekend,ya,year,1-800,@dbacks
2017-04-07,ME,maine,mesports,.@foxabcmaine,@news_jackhilton,@tjtremble,basketball,details,get,husson,law,police,rural,state,@jonalba,accident,adds,back,bath,battle,bill,brunswick,business,carmel,competition,drug
2017-04-07,MD,wmdt,@abc,u.s,baltimore,community,new,police,tonight,court,gorsuch,news,one,syrian,art,attack,county,home,school,senate,syria,year,@abcpolitics,act,airbase,city
2017-04-07,OH,brusha,cincinnati,saturday,show,sunday,1:00,3/20,3/23,6.\xe2\x80\xa6,@917wvxu,@capsteps,@cthompsonenq,@howardwilkinson,@karenkasler,@memorialhallotr,@paulachristian_,@proctergamble,@tanaweingartner,@tvkiese,also,archdiocese,awards,barely,beating
2017-04-07,SC,blufftontoday,sc,morning,new,carolina,first,friday,savannah,alert,at-bat,base,city,columbia,concert,cruise,free,house,injuries,missiles,say,tebow,tonight,us,via,@christrainorsc
2017-04-07,OR,@brittfestivals,britt,brittfest,power,sw,\xe2\x80\x93,lineup,new,rock,syria,april,aug,band,music,report,see,update,@bipartisan,alert,good,july,season,sept,takes
2017-04-07,SD,us,kdltnews,fire,south,syrian,@nbcnews,court,dakota,today,high,supreme,trump,missile,president,spearfish,state,air,airfield,attack,confirms,cruise,died,missiles,strike,syria
