2017-05-11,DC,d.c,@dcist,advisor,anacostia,artistic,claims,documentary,five,howard,lawsuit,names,prison,randomly,rape,surprisingly,university,failed,last,night,read,victims,year,years
2017-05-11,WV,wvu,@johneverett24,ohio,wood,penn,game,two,charleston,st,state,cody,jackson,kanawha,baseball,new,\xe2\x9c\x85,arrested,huntington,parkersburg,severe,university,west,wheeling,next
2017-05-11,HI,sub.req,|,aloha,beach,company,content,daniel,fear,free,gabbard,highways,hookipa,inouye,k,kaiminani,mamalahoa,marijuana,medicalmarijuana,miracle,mmmc,panel,patients,presents,reconsider,resurfacing
2017-05-11,NH,via,@steinhausernh1,@seacoastonline,nh,bill,state,@davesolomon72,nhpolitics,police,@thenhsenate,icymi,maine,music,house,n.h,say,senate,man,@dinanelizabeth,@doubledsmg,@fostersdailydem,awards,class,decriminalization,exeter
2017-05-11,NJ,trenton,standoff,nj,suspect,madison,may,police,@aquarianweekly,@trentoniandavid,atlantic,jersey,june,reese,reports,say,state,wildwood,day,new,@cleespot,ewing,fatima,interview,junior,mastodon
2017-05-11,NM,albuquerque,abq,martinez,fe,santa,court,nm,@lmitri_krqe,budget,krqenewsbrief,mexico,supreme,gov,i-40,new,\xc2\xa0,vetoes,@kristencurrietv,@krqe_yingling,legislators,nmwx,perry,petition,plaza,storm
2017-05-11,TX,houston,@brendasjeffreys,biglaw,litigators,mediation,opens,sanction,txlegal,vegas,hearing,legal,office,texas,trial,.@mehaffyweber,@te\xe2\x80\xa6,\xe2\x80\x98way,accusations,asking,barring,base\xe2\x80\x99,bennett,bites,bob,commission
2017-05-11,LA,bill,@johnampress,domestic,education,lalege,rep,new,@crystalampress,abuse,art,benefit,commission,committee,downtown,gallery,kc,morrish,ones,plenty,productions,reach,rock-concert,sales,sb,senate
2017-05-11,NC,.@prclife,.@raleighsadler,7-0,8th,@joseabella,@nchsaa,aligns,andrews,baptist,camp,churches,commit,convention,core,eliminated,games,gospel,ministry,nchsaabb,nominated,pastor,playoffs,president,sbc17,score
2017-05-11,ND,@nsmithreports,man,@agweekmagazine,chance,church,cramer,farmers,fury,helps,higher,killed,minnesota,northdakota,farm,weather,wednesday,@repkevincramer,ap,attendee,buffalo,bunny,cards,chances,children,cowboy
2017-05-11,NE,@3newsnowomaha,@craignigrelli,@maxmasseytv,omaha,nebraska,lnk,asking,4-0,84th,@jakewasikowski,@jen_zeppelin,@shawntepassmore,behind,brewers,community,convicted,day,papillion,say,soccer,still,underway,win,state,call
2017-05-11,TN,d2-aaa,morristown,@shsdiamondcats,btyb,firm,tennessee,terry,baseball,day,final,title,bank,franklin,hamilton,posted,red,screen,seymour,annual,arts,law,tournament,win,city,2-aaa
