2017-06-14,WA,bellingham,@dias_siete,@nexotechnology,housing,@redbootchicken,@jamesbest1864,seattle,spokane,shooting,@link10_nigeria,@playgameslover_,@sexybigup,meeting,@jpmm_md_cics,@wheelsofhoperis,affordablehousing,getting,skagit,st,congressman,local,man,read,says
2017-06-14,DE,rd,netde,@whyy,accident,hill,@joebiden,airport,delays,foulk,sb,traffic,w/injuries,delaware,flag,house,shooting,update,@dylg,cosbyunraveled,direction,gross,terry,white,wrangle,breaking
2017-06-14,DC,half,others,$1,@cardinal_wuerl,@pontifex,@usccb,appearance,assembly,assistance,audience,authorities,baths,bedrooms,bishops,catholic,comey,conversion,counter,examples,fears,federal,fireplaces,four,grace,hatred
2017-06-14,HI,|,sub.req,bigisland,content,\xe2\x80\x93,free,park,could,$400k,306-unit,@thefoodbaskethi,\xe2\x80\x98peter,all-around,anuenue,beach,birth,boy\xe2\x80\x99,causes,changing,chicken,complaint,controversy,costco,cowgirl,create
2017-06-14,WY,cnfr,rodeo,burned,casper,falling,goat,kyle,man,performance,yellowstone,get,hot,spring,all-around,bennett,bike,broken,cat,delegation,dirty,doses,engesser,finals,gives,go-round
2017-06-14,TX,.@gibsondunn,40th,\xe2\x80\x94what,abnormally,active,ads,advertising,anna,attrny,austin,barratry,biglaw,birthday,biz,bp,campaigns,clients
2017-06-14,LA,@crystalampress,@johnampress,budget,factor,house,lalege,scalise,black,breaking,coming,news,return,shooting,steve,$28,10-year-old,15-year-old,@tylerampress,abraham,address,adjourned,american,armes
2017-06-14,ND,podcast,@cbsnews,one,rep,baseball,flake,klein,listen,practice,s,@ap,breaking,death,done,farm,man,says,shooting
2017-06-14,NE,@cbsnews,shooting,@3newsnowomaha,nebraska,alexandria,@maxmasseytv,police,@nbcnebraska,storms,man,people,scalise,@1011_news,@ambar0se,@osisports,authorities,collegeworldseries,rain,security,congressman,could,day,fbi,heat,house
2017-06-14,TN,congressional,987news,@usatoday,aide,angles,authorities,identifies,roger,tx,williams,hodgkinson,james,announces,breaking,died,exploring,identified,illinois,man,president,rep,shooter,shooting,suspect
2017-06-14,PA,jury,police,cosbytrial,shot,shooting,baseball,@69news,deliberations,man,breaking,scalise,practice,@philheron,erie,county,day,rep,testimony,cosby,@montcocourtnews,congressman,lancaster,virginia,billcosby,capitol
2017-06-14,VA,blood,million
2017-06-14,CO,pueblo,back,colorado,news,j,larry,aspen,kathie,park,unusual,coming,good,baseball,gjco,fans,practice,re,@cmoore_news,@koaa,@luke_lyons14,county,injured,update,@jctvweather,denver
2017-06-14,AL,@audioboom,alabama,baseball,06/14,shooting,practice,\xe2\x80\x93,says,child,congressional,gop,brooks,live,mo,morning,@realtalk995,hr,leland,lelandlive,talk995,police,show,@alnewsnetwork,al,via
2017-06-14,AR,shooting,newport,@npr,police,weatherford,arkansas,congressional,suspect,arpx,baseball,patrick,tyson,practice,@victoriapricetv,calamese,lobbyist,charged,water,102.9,6-8,@cnn,@danajwinter,@nbcnews,alexandriashooting
2017-06-14,VT,vt,btv,vermont,new,police,suncmtynews,shooting,burlington,state,nh,williston,york,says,virginia,@cbsnews,campaign,congressional,crash,eye,fire,kids,rep,|,baseball,say
2017-06-14,IL,chicago,severe,county,thunderstorm,park,budget,warning,illinois,pride,take,north,hail,baseball,state,today,day,fest,il,jobs,join,keep,lake,large,look,mchenry
2017-06-14,GA,atlanta,late,beyond,georgia,county,miss,night,get,wafflehouse,day,@wafflehouse,beer,belief,cherokeecty,contrary,else,exist,expand,gwinnett,housing,liberty,park,popular,re,representatives
2017-06-14,IN,@lauren_artino,london,injured,scalise,firefighters,interchange,baseball,events,others,shooting,$20,24-story,@14news,@cherylwmusgrave,@cnn,@nbcnews,@nbcnightlynews,@sendonnelly,@stevescalise,approved,building,event,flames,house,million
2017-06-14,IA,@catholicglobe,@colezy24,\xe2\x80\x93,adoration,dallas,st,waukee,mary,6:30,adel,auto,car-x,clive,ctr,desoto,expect,granger,grimes,location,month,p.m,p.m.\xc2\xa0,pomeroy,repair,sac
2017-06-14,AZ,shooting,@kgun9,alexandria,fire,tonight,@,arizona,tucson,house,@gowildua,@mcccd,@npr,@whitneyclarktv,column,congressman,facility,know,lizard,science,ua,update,ups,week,condition,confirms
2017-06-14,ID,ibrnews,idaho,ibrpeople,says,@cdapressnews,@maureencdapress,cda,child,highered,issue,kids,roundup,big,case,coming,full,get,h\xe2\x80\xa6,june,lead,local,read,video,week,year
2017-06-14,MI,flint,flintwater,flintwatercrisis,schuette,rain
2017-06-14,KS,kansas,\xe2\x80\x93,kshsaa,proposals,wheat,county,education,harvest,reclassification,report,yes,june,member,damage,garden,storm,area,day,majority,president,program,says,see,state,board
2017-06-14,MT,mtnews,montana,man,changes,child,coal,fishing,mtcrime,north,rape,tester,wyonews,charged,church,crash,life,offers,people,practice,sentenced,woman,young,12-pound,2030s,25th
2017-06-14,MS,@kihnemanbp,\xe2\x80\x93,bishops,brown,day,praise,tuition,column,good,state,$6,:cta,@lisamcneece,\xe2\x80\x9chands,affirms,almighty,animal,approach,areas,assistant,aunt,bhs,bruce,caledonia,cannizaro
2017-06-14,OR,update,crash,nb,exit,i-5,shooting,police,lane,sb,right,blocked,vanwa,bridge,care2,clear,eb,left,scalise,still,99w,due,killingsworth,medford,odot,responding
