2017-07-02,WA,@jpmm_md_cics,kennewick,fire,@dias_siete,texas,train,@cityofseattle,@dr_cics,@elpatodelucas,@redbootchicken,@vanguardiason,city,que,steilacoom,@cdwgwagov,@matrevinomx,amtrak,booted,chicken,de,derailed,going,iot,near
2017-07-02,DE,coastal,point,netde,|,@newsworkswhyy,@whyy,accident,i-95,injuries,kids,shows,team,tv,w/,night,24/7,3:30pm,4th,@connieshih,@newsworksnj,\xe2\x80\xa2,\xf0\x9f\x91\x89,already,anytime,barnes
2017-07-02,DC,de,d.c,dijotrump,dc,el,la,national,madrid,mall,en,really,week,@charlesallen,@mklavers81,@washblade,attend,bathroom,best,car,city,complaining,corn,country,del,don\xe2\x80\x99t
2017-07-02,WI,wisconsin,wiwx,find,radar,southern,view,current,&gt;&gt,angus,fund,innova,isthmus,latest,pick,racine,right,vote,get,state,$1,10-3,1776,4th,50th,55f
2017-07-02,HI,dampen,little,makawao,prayer,rain,riding,rodeo,rough,spirits,wing
2017-07-02,NH,nhwx,effect,flood,@seacoastonline,manchester,warning,call,grafton,somersworth,state,york,sunday,@chadkids,@dmcdermosmg,@mikezhe603,@shawnsthilaire1,@starspeedwaynh,@tcovey11,east,feature,find,game,mph,nh,12u
2017-07-02,NJ,shutdown,state,@michaelsymons_,n.j,|,@,assemblyman,cape,christie,traffic,@nj1015,alert,bill,blocked,city,delay,fourth,government,jersey,lanes,mile,multi,nj,public,shut
2017-07-02,ND,dakota,man,minnesota,north,woman,$1,100th,@fargopolice,@mndnr,beating,birthday,boating,body,budget,challenges,could,damages,death,dickinson,drought,effect,ethics,farmers,favorite,fees
2017-07-02,NE,ne,severe,thunderstorm,warning,county,newx,weather,issued,nebraska,custer,pm,storm,storms,7/2,cdt,hail,report,@wxrentschler,lnk,blaine,chance,four,lincoln,two
2017-07-02,NY,brooklyn,say\xe2\x80\xa6,bridge,honor,special,police,path,27east,@audioboom,@ritacosby,annual,church,david,flanders,heights,medal,military,neill,park,pastor,seal,secretary,service,shulkin,station
2017-07-02,PA,explosion,one,injured,ugi,@ltfd66,@sarisoffer,custody,manortownship,million,scene,turned,w,worker,york,event,officials,update,$500,19-year-old,@abc27\xe2\x80\xa6,@dawnwhiteabc27,back,breaking,bucknell,call
2017-07-02,RI,@tjdelsanto,@abc6,@rigopchairman,fundraiser,ri,spicer,weather,@brianyocono,@cleshnerabc6,@wpri12,air,audio,bank,island,rhode,ripr,tonight,latest,local,@tednesi,ask,cancelled,icymi,providence,sean
2017-07-02,VA,florida,man,arrested,crozet,lake,virginia,home,@cavalierinsider,\xc2\xbb,accident,afternoon,anna,boat,catholicconvo,caught,children,county,daily,festival,former,juveniles,nba,orange,ride,sailor
2017-07-02,IN,amber,alert,anderson,children,old,fire,abducted,aleah,brown,rindahl,three,@steve14news,catholicconvo,eyes,hair,inches,indiana,korff,pounds,rd,silver,tall,white,aurora,believed
2017-07-02,IA,another,blair,car,got,p14,p33,$1,6-28-17,@cottonwoodmm651,@jcalsbeek,@maryellenmurr,city,cottonwood,could,court,cove,cr,cracking,cruise,death,dreams,drugs,enter,exit,favorite
2017-07-02,OK,pm,severe,@mandybaileywx,thunderstorm,warning,co,storms,city,columnist,concert,hail,june,latest,moving,nature,oklahoma,summer,winds,local,sun,@tpalmateer83,\xe2\x80\x94,canada,cdt,e
2017-07-02,ID,idaho,via,@youtube,big,two,boise,celebrate,fourth,pocatello,tamarack,victims,ban,blackfoot,brings,burn,calendar,car,comments,death,effect,events,fire,great,high,hobbs
2017-07-02,CT,connecticut,nbcct,state,\xe2\x80\x94,new,ct,market,police,@weatherjosh,berlin,britain,series,fireworks,hartford,returns,sure,suspicious,weather,white,man,death,day,say,@kristennbcct,@mattaustintv
2017-07-02,ME,maine,@mikeshepherdme,mepolitics,budget,shutdown,@seacoastonline,\xe2\x80\x94,committee,state,york,day,@chadkids,@dmcdermosmg,@kevinmillerpph,@mikezhe603,@starspeedwaynh,@tcovey11,east,feature,game,health,mesports,summer,west,open
2017-07-02,MD,black,.@baltimorepolice,@abc,@abc2news,afronews,apparent,baltimore,big,car,china,details,great,murder,riley,road,sports,stephen,suspects,found,crash,incident,rage,suspect,update,11am
2017-07-02,MA,fourth
2017-07-02,OH,10tv,@10tv,county,man,@bryant10tv,crash,@jeffbooth10tv,abuse,body,boom,children,desire,drowning,fairfield,fulfills,hills,hocking,killed,lifelong,little,missing,possible,prompts,red,sandbox
2017-07-02,UT,$50,@desnewssports,@djjazzyjody,@gordonhayward,approval,binge-watch,cheer,coalition,covered,damage,diego,downtown,estimated,even,fight,free-agency,future,got,homeless,injuries,jazz,large,longreads,looms,make
2017-07-02,KS,miles,students,local,$20,10-5-2,\xe2\x80\x94,and\xc2\xa0failures,announces,business,chance,choose,chronic,circumnavigation,column,contaminated,corpse,critically,dangerous,deer,die,disease,eating,education,equine,feats
2017-07-02,MS,|,time
2017-07-02,OR,care2,oregon,injuries,bill,car,man,portland,girl,suffers,@jendowlingkoin6,exiting,near,train,crash,@josephkoin,back,cars,critical,driver,health,hit,parked,passes,se,state
2017-07-02,SD,@mgeheren,secretary,state,@shantelkrebs,south,southdakota,voter,@kdltnews,@kdltsports,ahead,dakota,kelonews,read,saturday,see,4th,@stephenathome,data,game,girl,lake,look,minnesota,part,president
