2017-07-10,DE,netde,sb,report,accident,rd,@newsworkswhyy,bike,hot,i-295,listen,next,pike,roadway,trip,ahead,days,lane,@chriscoons,@whyy,brooke,country,crash,cross,day
2017-07-10,DC,de,metro,d.c,@fox5dc,dc,breaking,week,@erinfox5dc,@wamu885,due,shooting,naming,rights,suitland,new,police,@lindsayawatts,dead,right,station,stations,transgender,update,@washblade
2017-07-10,WV,boe,wv,@wowkalyssa,nc,oh,west,athens,fema,says,@spencerweather,greenbrier,hail,virginia,warning,board,morrisey,new,ohwx,senate,tornado,us,winds,man,plan
2017-07-10,NC,$5,@makeawisheastnc,december,last,sent
2017-07-10,NY,southampton,homeowner,montauk,peace,27east,all-star,allowing,benefit,bike,bow,bridgehampton,caliente,care,class,common,concerns,discusses,district,efforts,executive,foundation,gbowee,guilty
2017-07-10,NV,8nn,@fox5vegas,decatur,vegas,sahara,breaking,el,kdwntraffic,las,update,police,@ap,@brittanyedney,@samargier,elko,henderson,rtc/fast,nvwx,right,south,pic,us,&gt;\xe2\x80\xa6,@8newsnow
2017-07-10,VA,gmrva,amtrak,richmond,@8news,@roxie8news,@whitney8news,catholic,good,morning,rva,train,day,@anjack4,colonial,heat,heights,tune,fire,get,new,vehicle,@arlingtonchurch,@katie8newswx,@morgan8news,\xe2\x80\x94
2017-07-10,CO,pueblo,denver,@luke_lyons14,new,@denverchannel,@koaa,aspen,gjco,jail,maketatrial,man,may,ticket,colorado,birthday,body,copolitics,jury,lake,oct,perform,report,trump,alert,morning
2017-07-10,AL,alabama,birmingham,list,man,set,$500,18-25,@sinow,advisories,al,alpolitics,anti-police,apartment,aug,bail,baldwin,careless,charge,compete,consumption,dead,do-not-eat,donuts,drunken,dunkin
2017-07-10,VT,food,one,suncmtynews,years,|,ago,business,create,diplomacy,good,healthy,living,magazine,mccarthy,mcphaul,meghan,offers,photos,piece,tips,vermont,week,wrote,$300,$98
2017-07-10,IL,chicago,fest,park,breaking,coming,photos,rockford,new,field,jr,ruido,day,death,family,one,tour,two,year,4:44,@fox32news,amn,ancient,bar,beer
2017-07-10,GA,atlanta,@cbs46,new,police,report,atltraffic,dekalb,georgia,get,@cbs46sports,@valdezcbs46,accused,former,trump,video,arrested,crash,day,man,week,monday,&gt;&gt,adidas,beating,blocked
2017-07-10,IN,&gt;&gt;&gt,evansville,@evansvillepd,@ispevansville,breaking,gibson,owensboro,crash,@aesia14news,@brittany14news,bakeries,bimbo,closing,epd,i-69,new,preview,strongcity,suspect,two,arrested,coming,crews,officers
2017-07-10,IA,golf,mason,city,check,courses,fair,photo,card,contest,different,enter,fun,holes,savers,$99\xe2\x80\xa6,@catholicglobe,agenda,aspiring,atv,blair,board,demand,donation,education,five
2017-07-10,ID,ibrnews,boise,ibrpeople,joins,college
2017-07-10,OK,dewey,new,police,$145,2016-17,agency,attend,attracted,challenge,closures,country,dangerous,eat,enrollment,explorer,explorers,feathers,flatbed,fly.\xe2\x80\x9d,green,hazardous,hosted,includes,johnstone
2017-07-10,OH,warning,severe,thunderstorm,10tv,athens,fairfield,franklin,county,hocking,delaware,licking,union,flash,flood,washington,4:30pm,6:45pm,columbus,madison,pickaway,tornado,|,perry,4:45pm,5:15pm
2017-07-10,UT,utah,beer,blues,cannibalism,caterpillars,china,craftbeer,digital,dope,edition,festival,garden,gilgal,hostility,islamic,mice,mission,moon,music,night,open,preps,prison,provoke,quirky
2017-07-10,KS,icymi,kansas,day,july,us,concordia,fest,president,state,@allaboardtour,aawh17,agriculture,brown,career,chamber,cloud,derby,emporia,fhsu,free,grand,held,history,library,looking
2017-07-10,MT,bdcnews,montana,ap,mtnews,gallatin,glacier,jump,missoula,photos,best,near,bar,boats,breastfeeding,fight,fire,i-90,kits,logan,madison,new,opinions,park,private,rape
2017-07-10,SC,@mikeabccolumbia,road,holds,street,wilkins,6pm,@addthis,@taraservatius,abc,accident,award,bednarik,ccsd,collision,collisions,columbia,defects,football,glenn,greenville,i-26,injury,lawrence,light,list
2017-07-10,KY,hot,humid,kentucky,week,|,police,due,east,kywx,see,wreck,@kytc,blackburn,carter,dew,fayette,flown,going,i-64,july,king,lexington,may,milepoint
2017-07-10,OR,care2,portland,fire,oregon,day,festival,lily,man,new,today,@joevfox12,creek,dry,gets,mt,right,state,-@ap,.@potus,@fox12weather,@johnkptv,@marilyndeutsch,abortion,accused
