2017-08-05,NJ,man,say,missing,n.j,cops,new,police,+,cape,coast,crash,dead,family,guard,home,kite,search,surfer,traffic,week,|,airports,alert,another
2017-08-05,CO,9sports,@9newssports,@denbizjournal,@mikeklis,9wx,colorado,broncos,bronze,davis,discus,finley,hall,mason,terrell,wins,@9newsweather,battle,buena,cdot,championships,coloradosprings,continues,cotraffic,county,deer
2017-08-05,PA,@lduewfmz,@karinmallett,@69news,@bkoltnow,allentown,downtown,penn,police,s,saturdaysunrise,also,building,burglary,coffee,day,expectations,experience,fest,goodbye,lauren,miss,night,says,searching,see
2017-08-05,UT,utah,@desnewssports,camp,state,former,health,.@dnewsopinion,aggie,back,board,bountiful,byu,center,day,days,district,end,fall,football,guard,history,lake,making,near,organization
2017-08-05,CA,.@gm,@wendys,\xf0\x9f\x92\xb0,angry,bought,cucumber,irs,jail,lands,money,officials,p.m,package,paranoid,parent,powerball,recalling,s,safely,saving,share,sickens,suspicious,ticket,tirade
2017-08-05,NC,council,season,first
2017-08-05,ND,podcast,@fargopolice,@jamestownnd,@jimmieknight,exchange,explains,kfgo,research,safe,skunberg,swallow,teagan,tree,university,crew,morning
2017-08-05,AL,alabama,get,eclipse,school,weactv24,|,football,auburn,forecast,solar,stormtrack42,day,back,county,free,university,know,top,watch,new,birmingham,city,dies,dothan,house
2017-08-05,DC,former,policy,clinton,making,stop,world,august,hillary,leaks,staffers,twitter,two,week
2017-08-05,KS,banks,boat,belleville,chad,high,annual,video,2nd,84,8th,@auroraspikeball,\xe2\x80\x98a,accident,agency,american,arms,base,bayson,becomes,best,big,boost,boy,cafe,cartoon
2017-08-05,NY,@ritacosby,dershowitz,show,11a-1p,@77wabcradio,@larry_kudlow,early,house,lake,larry,new,saturdays,street,sunday,time,trump,wall,white,.@maxinewaters,@byrontau,@dailycaller,gets,it.\xe2\x80\xa6,jury,lax
2017-08-05,AR,go,news,texting,check,made,1,17-day,1pm,30%,5th,\xe2\x80\x8bhow,accusations,amid,ashes,asked,august,aunt,back,becomes,bolling,bretteldredge,carter,castle,cattle,chance
2017-08-05,SD,$50,2016?\xe2\x80\xa6
2017-08-05,SC,@mikeabccolumbia,clemson,investigate,track,@\xe2\x80\xa6,@abc,@abc_columbia,@alexisv_tv,@clownejd,@deshaunwatson,@taraservatius,backup,bashaud,breeland,bryant,camp,cleaning,clear,columbia,condition,corps,cpd,crews,critical
2017-08-05,KY,wreck,ems,heading,school,101st,army,county,deputies,fort,games,judge,kentucky,man,meet,start,two,u.s,unconstitutional,high,people,photos,police,$1,$4m,1-502nd
2017-08-05,AZ,arizona,chandler,events,fall,festivals,glendale,gm,phoenix,planned,recalling,scottsdale,tempe\xe2\x80\xa6
2017-08-05,OR,care2,crews,park,@haleyrushnews,wallace,near,marine,missing,salem,heat,police,still,water,searching,5yo,@mountainwavesar,boy,county,found,seen,wave,west,search,5-year-old,@fox12weather
2017-08-05,WY,aug,wyoming,yellowstone,bison,create,eclipse,events,facility,gowyo,quarantine,system,take,temporary,home,@ellenlfike,@therhoten,according,alleges,alum,anything,arapaho,arts,atmosphere,bats,better
2017-08-05,CT,police,de,new,connecticut,southington,ctnews,la,summer,man,en,woman,day,calls,gets,hartford,que,un,arrested,meriden,nbcct,robo,school,su,wallingford,want
