2016-11-12,WI,@badgerherald,@dohaawad98,protesters,ave,control,university,@hksperl,demonstrate,protest,shullsburg,st,stand,traffic,block,community,watch
2016-11-12,HI,byuh
2016-11-12,FL,de,@dailycommercial,trump,bay,del,en,eustis,palm,protest,la,fe,hemming,santa,sumter,crowd,el,south,centro,este,fin,los,park,se,son
2016-11-12,NH,donald,nhpolitics,concord,far,hillary,president,speaking,state,trump,1pm,7pm,@ajkierstead,@maggie_hassan,@wkxlnh,always,americans,ballroom,barley,bishop,brady,brought,capitol,casino,chanted,clinton
2016-11-12,NJ,tournament,@targumsports,last,night,recap,rutgers,walsh,@eswint22,@setonhall,@setonhallmbb,@setoniansports,awareness,broncnation,cancer,club,community,first,game,gobroncs,going,loss,maac,mercer,ncaa
2016-11-12,NM,central,los,lunas,nmaa,nmpreps,kirtland,5a,state,football,2q,tigers,curtis,michaels,\xc2\xa0,broncos,facebook,fe,maury,samuels,santa,nov,trump,video,w/,abq
2016-11-12,LA,st,franklin,fred,mais,oak,8-man,@coach_dupont,@ofaathletics,academy,administration,brusly,donors,drain,final,forest,kdm,lobbyists,ofa,s,semifinal,shaping,sm,swamp,title,washington
2016-11-12,NC,lee,creek,co,construction,fisher,ja,today,yd,us,county,brackets,jackets,nov,state,td,*gutter,*roofing,*siding,*windows,@theappsports,care,improvements,moore,nc,nchsaa
2016-11-12,ND,best,bet,end,quarter,2:30,4-8pm,41-17,48%,9-1,@fdome#gobison,@ndsu,admit,attendance,auction,bison,brands,car,church\xe2\x80\xa6,dinner,electronics,fargo
2016-11-12,TN,morristown,halls,west,s,20-17,btyb,left,qb,tssaa,5a,ball,class,final,playoff,season,win,22.4,423-587-5911,4:02,@audioboom,blevins,blueraiders,bounds,brent,caden
2016-11-12,NY,lake,veteransday,america,east,fighter,saranac,support,thanks,check,day,$74,1st,2-week,27east,@antonioolivero,@bingbballblog,@bklyndesigns,@breweryommegang,@brooklynchamber,@chubbna,@hotelsaranac,@interiordesign,@loveyourpark,@myphillypark
2016-11-12,RI,630am,8:00,99.7fm
2016-11-12,NV,state,alvarezmcgregor,blog,card,carson,covered,main,nevada,prelims,ufc205,ufcnyc,valley,saturday,friday,live,night,volleyball,-&gt,21st,25-23,3-1,3-2,@carsonnow,@carsonvalleyinn,@kellylangmusic
2016-11-12,VA,@faizanct,hokies,pts,tech,evhs,looking,today,us,@vt_mbball,able,analysis,chris,clarke,college,come,control,culpeper,educated,food,gt,hill,holmes,leday,maine,people
2016-11-12,VT,\xe2\x80\x93,police,suncmtynews,woman,castleton,montpelier,\xf0\x9f\x91\x8d,\xf0\x9f\x98\x84,burglaries,charge,crash,enews,guide,roundup,saturday,sports,stories,ten,university,week&amp;#039;s,local,top,3-0,3-1,77-12
2016-11-12,IL,niu,huskies,state,protest,lovetrumpshate,cardinal,free,freeport,gazette-democrat,key,first,indiana,left,bernardin,calls,church,cronin,cubs,guard,jaylen,job,makes,points,prep,says
2016-11-12,IN,eastbrook,sa,left,ac,regional,society,2nd,@jared__parrish,\xe2\x80\x93,anniversary,church,deputy,francis,host,jay,letter,month,musk,november,program,results,southwood,speaks,st,game
2016-11-12,IA,touchdown,wolfpack,score,@wartburgknights,@youtube,ncaa,14-14,19th,annual,bulldog,celebration,cross,finisher,gallery,hudson,knights,named,photo,postgame,regionals,top,via,wartburg,western,zone
2016-11-12,ID,forum,open,news,next
2016-11-12,UT,64-year-old,64-yr-old,@byuphoto,@cbcadvisors,@owletbabycare,@uutah,\xe2\x80\x93,\xe2\x80\x9cthe,\xe2\x80\x9ctrump,accidentally,advocate,aka,anyone
2016-11-12,MT,women,$40,\xe2\x80\x98join,\xe2\x80\x9ci,air,amount,asking,boats,bosnia,camp,civilian,commission,daybook,flathead,force,houseboats,job,lake,limit,look,looking,manager,may,mcgovern,old
2016-11-12,MS,vardaman,brooks,ray,marshall,academy,canton,calhouncity,yard,rams,jz,play,td,tigers,city,final,lead,yards,first,american,conversion,council,jo,keeshun,owen,wolves
2016-11-12,OR,woodburn,opreps,@philhawkinswi,boys,wilsonville,@osaasports,kxl,stayconnected,soccer,protesters,trump,@wbindependent,shot,@kxlnews,kgw,thanksgiving,police,first,wine,4m,@juliacomnes,@linfieldcollege,arrest
